Step,Action,Price,Cash,BTC,BTC_Value,Total
432,1,58513.30,74598.62,16,936212.88,1010811.49
433,1,58522.98,74598.62,16,936367.75,1010966.37
434,1,58522.16,74598.62,16,936354.62,1010953.24
435,-1,58505.41,1946770.56,-16,-936086.62,1010683.93
436,1,58512.57,74367.12,16,936201.06,1010568.18
437,1,58505.41,74367.12,16,936086.62,1010453.75
438,1,58506.39,74367.12,16,936102.19,1010469.31
439,1,58506.39,74367.12,16,936102.19,1010469.31
440,1,58542.91,74367.12,16,936686.62,1011053.75
441,1,58543.75,74367.12,16,936699.94,1011067.06
442,1,58543.75,74367.12,16,936700.06,1011067.18
443,1,58562.64,74367.12,16,937002.19,1011369.31
444,1,58562.45,74367.12,16,936999.12,1011366.25
445,1,58563.23,74367.12,16,937011.62,1011378.75
446,1,58562.12,74367.12,16,936994.00,1011361.12
447,1,58564.39,74367.12,16,937030.19,1011397.31
448,1,58572.61,74367.12,16,937161.69,1011528.81
449,1,58572.61,74367.12,16,937161.69,1011528.81
450,1,58572.61,74367.12,16,937161.69,1011528.81
451,1,58576.20,74367.12,16,937219.25,1011586.37
452,1,58581.77,74367.12,16,937308.25,1011675.37
453,1,58581.77,74367.12,16,937308.25,1011675.37
454,1,58595.91,74367.12,16,937534.62,1011901.75
455,1,58596.59,74367.12,16,937545.38,1011912.50
456,1,58596.59,74367.12,16,937545.38,1011912.50
457,1,58595.00,74367.12,16,937520.06,1011887.18
458,1,58589.30,74367.12,16,937428.88,1011796.00
459,1,58589.30,74367.12,16,937428.88,1011796.00
460,1,58600.05,74367.12,16,937600.75,1011967.87
461,1,58609.00,74367.12,16,937744.06,1012111.18
462,1,58610.45,74367.12,16,937767.12,1012134.25
463,-1,58610.32,1949895.93,-16,-937765.06,1012130.87
464,1,58600.00,74694.50,16,937600.06,1012294.56
465,1,58600.00,74694.50,16,937600.06,1012294.56
466,-1,58610.18,1950219.06,-16,-937762.94,1012456.12
467,1,58610.45,74683.50,16,937767.12,1012450.62
468,1,58602.32,74683.50,16,937637.12,1012320.62
469,1,58602.75,74683.50,16,937644.06,1012327.56
470,1,58614.20,74683.50,16,937827.25,1012510.75
471,1,58620.00,74683.50,16,937919.94,1012603.43
472,1,58636.16,74683.50,16,938178.62,1012862.12
473,1,58637.93,74683.50,16,938206.94,1012890.43
474,1,58666.48,74683.50,16,938663.75,1013347.25
475,1,58722.00,74683.50,16,939551.94,1014235.43
476,1,58750.00,74683.50,16,939999.94,1014683.43
477,1,58761.64,74683.50,16,940186.19,1014869.68
478,1,58770.30,74683.50,16,940324.88,1015008.37
479,1,58777.00,74683.50,16,940431.94,1015115.43
480,1,58793.00,74683.50,16,940687.94,1015371.43
481,1,58785.00,74683.50,16,940560.06,1015243.56
482,1,58799.00,74683.50,16,940783.94,1015467.43
483,1,58822.00,74683.50,16,941151.94,1015835.43
484,-1,58824.86,1957077.80,-16,-941197.81,1015879.99
485,1,58825.00,74676.61,16,941199.94,1015876.55
486,1,58847.00,74676.61,16,941551.94,1016228.55
487,1,58847.43,74676.61,16,941558.81,1016235.42
488,1,58850.00,74676.61,16,941599.94,1016276.55
489,1,58854.04,74676.61,16,941664.56,1016341.17
490,1,58869.68,74676.61,16,941914.81,1016591.42
491,1,58869.68,74676.61,16,941914.81,1016591.42
492,1,58850.00,74676.61,16,941600.06,1016276.67
493,1,58813.66,74676.61,16,941018.62,1015695.24
494,1,58869.68,74676.61,16,941914.81,1016591.42
495,1,58850.00,74676.61,16,941600.06,1016276.67
496,1,58850.00,74676.61,16,941600.06,1016276.67
497,-1,58849.79,1957868.42,-16,-941596.56,1016271.86
498,1,58836.48,75099.60,16,941383.75,1016483.35
499,1,58832.68,75099.60,16,941322.94,1016422.54
500,1,58831.46,75099.60,16,941303.44,1016403.04
501,1,58831.38,75099.60,16,941302.00,1016401.60
502,1,58830.00,75099.60,16,941280.06,1016379.66
503,1,58813.73,75099.60,16,941019.75,1016119.35
504,1,58803.48,75099.60,16,940855.75,1015955.35
505,1,58800.00,75099.60,16,940800.06,1015899.66
506,1,58769.86,75099.60,16,940317.69,1015417.29
507,1,58769.21,75099.60,16,940307.44,1015407.04
508,1,58744.25,75099.60,16,939907.94,1015007.54
509,1,58762.32,75099.60,16,940197.06,1015296.66
